month,ward,alderman
Jan 1999,27,"Walter Burnett, Jr."
Jan 1999,28,Ed Smith
Jan 1999,29,Sam Burrell
Jan 1999,30,Michael Wojcik
Jan 1999,31,Ray Suarez
Jan 1999,32,Theodore Matlak
Jan 1999,33,Dick Mell
Jan 1999,34,Carrie Austin
Jan 1999,35,Vilma Colom
Jan 1999,36,William Banks
Jan 1999,37,Percy Z. Giles
Jan 1999,38,Thomas Allen
Jan 1999,39,Margaret Laurino
Jan 1999,40,Patrick O'Connor
Jan 1999,41,Brian Doherty
Jan 1999,42,Burton Natarus
Jan 1999,43,Charles Bernardini
Jan 1999,44,Bernie Hansen
Jan 1999,45,Patrick Levar
Jan 1999,46,Helen Shiller
Jan 1999,47,Eugene Schulter
Jan 1999,48,Mary Ann Smith
Jan 1999,49,Joe Moore
Jan 1999,50,Bernard Stone
Feb 1999,1,Jesse Granato
Feb 1999,2,Madeline Haithcock
Feb 1999,3,Dorothy Tillman
Feb 1999,4,Toni Preckwinkle
Feb 1999,5,Barbara Holt
Feb 1999,6,Fredrenna Lyle
Feb 1999,7,William Beavers
Feb 1999,8,Lorraine Dixon
Feb 1999,9,Melvin Powell Sr.
Feb 1999,10,John J. Buchanan
Feb 1999,11,James Balcer
Feb 1999,12,Ray Frias
Feb 1999,13,Frank Olivo
Feb 1999,14,Ed Burke
Feb 1999,15,Virgil E. Jones
Feb 1999,16,Shirley Coleman
Feb 1999,17,Terry Peterson
Feb 1999,18,Thomas Murphy
Feb 1999,19,Virginia Rugai
Feb 1999,20,Arenda Troutman
Feb 1999,21,Leonard DeVille
Feb 1999,22,Ricardo Munoz
Feb 1999,23,Michael Zalewski
Feb 1999,24,Michael Chandler
Feb 1999,25,Daniel Solis
Feb 1999,26,Billy Ocasio
Feb 1999,27,"Walter Burnett, Jr."
Feb 1999,28,Ed Smith
Feb 1999,29,Sam Burrell
Feb 1999,30,Michael Wojcik
Feb 1999,31,Ray Suarez
Feb 1999,32,Theodore Matlak
Feb 1999,33,Dick Mell
Feb 1999,34,Carrie Austin
Feb 1999,35,Vilma Colom
Feb 1999,36,William Banks
Feb 1999,37,Percy Z. Giles
Feb 1999,38,Thomas Allen
