draw,density_multifamily_far_binary,density_multifamily_dupac_binary,density_multifamily_far_continuous,density_multifamily_dupac_continuous
247,-0.01976059779754499,0.009542097328367952,-0.0789078624744295,-0.045781839124306785
248,-0.12561361527208845,-0.024063882191140615,-0.17659700717282018,-0.12385360415015433
249,-0.2680888439293847,-0.22572789378642336,-0.1229595625633839,-0.06539016360651362
250,-0.2477626783600961,-0.3079271456071203,-0.2426866981046138,-0.2242995633897055
251,-0.15187198715533368,-0.09078292053538688,-0.14768791468473172,-0.16468558490790952
252,-0.07480050688938455,-0.1456154487208069,-0.06942388747511444,-0.07420283018207656
253,-0.2785974222096726,-0.12113101034206289,-0.2197391798263043,-0.18124868633057903
254,-0.045415773191569996,-0.007567460842732175,-0.0635363570874711,0.048031209019948985
255,-0.0488657070220493,-0.13237096553275216,-0.09193467991137129,2.488313940225783e-4
256,-0.3033104397898881,-0.3161409094258131,-0.11933299981713363,-0.07206062344977045
257,-0.38163955725566867,-0.33113867340502884,-0.1755687004071394,-0.1431628307909308
258,-0.16937802003350755,-0.25655857710944135,-0.14317675474926395,-0.11487712511648318
259,-0.13670673914382256,-0.18346394662629417,-0.11547046546600487,-0.10011658272726483
260,-0.25518744226949097,-0.15073454233707936,-0.13845701985508002,-0.10291316326991043
261,-0.18756884321447465,-0.25733884156548287,-0.12308478684734897,-0.12704656655309152
262,-0.27036581248693253,-0.31372888580130665,-0.11640806786067988,-0.111616408202827
263,-0.3066864968305877,-0.3141078961758901,-0.2588091687027443,-0.20648261487937938
264,-0.16347319259027782,-0.1596892013750324,-0.18932915632905853,-0.11905004694799955
265,-0.2861476874262429,-0.2960802814448167,-0.20699745480600562,-0.1524419748815579
266,-0.18878004327702264,-0.27078406195549604,-0.14376963055440167,-0.07116381964122083
267,-0.2452943061775035,-0.20352890246996558,-0.07565512040170774,-0.07356084945396102
268,-0.277955564803785,-0.24811158590739085,-0.23868197530564028,-0.1383722076076968
269,-0.08801093940920117,-0.24736224404125914,-0.15327797554029193,-0.16867763432760335
270,-0.19911493249715137,-0.23977851074558376,-0.1260134091123262,-0.0725458781169798
271,-0.2489372380181911,-0.14786739179905756,-0.26500770231717874,-0.28442178883907265
272,-0.2588386568158221,-0.08234689045330393,-0.1634402749132133,-0.09278447077637918
273,-0.19542169633101156,-0.12829063608079866,-0.09847672971068168,-0.0561034546568219
274,-0.2838642258384648,-0.3251627265730026,-0.27243850727573876,-0.2700032822152978
275,-0.3590754118135282,-0.4006185057546555,-0.26143976353869086,-0.2175930266217214
276,-0.20259469517958203,-0.2547193655498067,-0.1617800210069371,-0.10882369465965366
277,-0.40770007873450936,-0.23543092791389686,-0.2308496937100881,-0.16938784524150433
278,-0.22242170203385683,-0.22100253817869134,-0.18649187861879668,-0.11219130679959279
279,-0.2779817981772186,-0.32713837908068183,-0.19945487054254932,-0.20631157152179538
280,-0.31841514959047656,-0.3757499793636647,-0.13599834382825013,-0.08416270112257515
281,-0.2742745133736303,-0.14561371412906834,-0.17885311775078291,-0.1589075890213989
282,-0.24373169675654832,-0.2877288418826142,-0.13629724758442763,-0.1351954965039636
283,-0.3170151580024147,-0.3401067933238173,-0.3235960569643444,-0.25828447972418067
284,-0.17995115222045227,-0.045016905380800214,-0.19958548760215386,-0.14766319089731886
285,-0.25053207706000385,-0.3379770864543401,-0.1265353787211003,-0.08690741192830018
286,-0.22710030973492737,-0.17323675471596597,-0.13011969180219574,-0.10064315104635521
287,-0.2866404107401641,-0.3513265982970566,-0.1904023170713249,-0.15683840837351043
288,-0.17313366557346838,-0.0370236278813757,-0.20353110709328126,-0.1629865750845184
289,-0.36498980725337127,-0.34761575192714883,-0.23401516044518736,-0.21157270160092775
290,-0.23859488067480253,-0.14599281428623373,-0.18144833497909235,-0.1365437536672795
291,-0.26733797626219546,-0.07303188358428803,-0.07040588075155652,-0.04418795330014337
292,-0.2640462500829462,-0.24906284511325558,-0.22782857383092728,-0.14649005216820096
293,-0.40821769962888305,-0.3103196752246229,-0.19085641548777485,-0.14884113101963906
294,-0.24443006866514758,-0.319343743352751,-0.11232494814064693,-0.1390216325790802
