project_id,project_pin,construction_year,within_500ft,search_geometry_source,current_pin,current_pin10,current_tax_year,current_class,current_x_3435,current_y_3435,current_address,latest_assessor_year,latest_assessor_cards,latest_assessor_classes,latest_assessor_year_built,latest_assessor_units,latest_assessor_building_sqft,latest_assessor_land_sqft,component_project_ids,represented_by_other_final_project,same_original_pin
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210260000,1911121026,2025,204,1152840.9899539598,1870660.9737942624,3640 W 51ST ST,2025,1,204,2008,1,2797,6761,residential_19111210260000,TRUE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210270000,1911121027,2025,100,1152760.061833651,1870751.3002663224,5064 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210280000,1911121028,2025,100,1152759.3335036607,1870777.7837308852,5060 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210290000,1911121029,2025,100,1152758.6058139189,1870804.195736516,5056 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210300000,1911121030,2025,100,1152757.8781889076,1870830.6077365184,5052 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210310000,1911121031,2025,100,1152757.1505639146,1870857.0198615224,5048 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210320000,1911121032,2025,100,1152756.423216366,1870883.4313660455,5044 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210330000,1911121033,2025,100,1152755.69413148,1870909.8396902415,5040 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210340000,1911121034,2025,100,1152754.9678741489,1870936.248242148,5036 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210350000,1911121035,2025,100,1152754.2382232323,1870962.653994841,5032 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210360000,1911121036,2025,100,1152753.5132985264,1870989.0613795368,5028 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210370000,1911121037,2025,100,1152752.7842803355,1871015.4722832264,5024 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210380000,1911121038,2025,100,1152752.0576042137,1871041.883771442,5020 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210390000,1911121039,2025,100,1152751.3284541175,1871068.2952184656,2016 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210400000,1911121040,2025,100,1152750.6006996292,1871094.7037297213,5012 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210410000,1911121041,2025,100,1152749.873123376,1871121.11216497,5008 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210420000,1911121042,2025,100,1152749.1460388785,1871147.5221998924,5004 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111210430000,1911121043,2025,100,1152748.41663418,1871174.0157531076,5000 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111220010000,1911122001,2025,100,1152956.348861869,1870908.7739939727,5043 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111220020000,1911122002,2025,100,1152951.3113960011,1871072.9721020265,5015 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111220030000,1911122003,2025,100,1152948.7081789172,1871164.87517268,5001 S MILLARD AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230010000,1911123001,2025,100,1152952.4351011903,1870628.5233506851,3622 W 51ST ST,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_19111200130000,19111200130000,2006,TRUE,construction_year_parcel,19111230020000,1911123002,2025,207,1152987.9432507085,1870629.5206976195,3620 W 51ST ST,2025,1,207,2007,1,1784,2020,residential_19111230020000,TRUE,FALSE
