pin,construction_year,construction_zone_group
14321100080000,2012,Single-Family Residential
14321100150000,2015,Single-Family Residential
14321100190000,2013,Multi-Family Residential
14321100200000,2007,Multi-Family Residential
14321100210000,2012,Multi-Family Residential
14321100240000,2007,Multi-Family Residential
14321100270000,2011,Multi-Family Residential
14321100600000,2011,Multi-Family Residential
14321110090000,2006,Multi-Family Residential
14321110130000,2016,Multi-Family Residential
14321110160000,2007,Multi-Family Residential
14321120120000,2008,Multi-Family Residential
14321120190000,2012,Multi-Family Residential
14321120260000,2015,Multi-Family Residential
14321120350000,2007,Multi-Family Residential
14321120380000,2016,Multi-Family Residential
14321130050000,2016,Multi-Family Residential
14321130090000,2021,Multi-Family Residential
14321130120000,2015,Multi-Family Residential
14321130130000,2016,Multi-Family Residential
14321260260000,2014,Multi-Family Residential
14321260340000,2006,Multi-Family Residential
14321260360000,2020,Multi-Family Residential
14321260370000,2016,Multi-Family Residential
14321270040000,2016,Multi-Family Residential
14321270060000,2019,Multi-Family Residential
14321270080000,2012,Multi-Family Residential
14321270160000,2022,Multi-Family Residential
14321340110000,2007,Multi-Family Residential
14321340150000,2007,Multi-Family Residential
14322100150000,2009,Multi-Family Residential
14322100240000,2014,Multi-Family Residential
14322110390000,2006,Multi-Family Residential
14322120100000,2012,Multi-Family Residential
14322130280000,2008,Multi-Family Residential
14322130290000,2008,Multi-Family Residential
14322130300000,2006,Multi-Family Residential
14322140100000,2022,Multi-Family Residential
14322140130000,2021,Multi-Family Residential
14322140160000,2006,Multi-Family Residential
14322140210000,2010,Multi-Family Residential
14322140280000,2015,Multi-Family Residential
14322140290000,2017,Multi-Family Residential
14322140320000,2012,Multi-Family Residential
14322140360000,2017,Multi-Family Residential
14322150120000,2014,Multi-Family Residential
14322150290000,2020,Multi-Family Residential
14322150310000,2021,Multi-Family Residential
14322150330000,2015,Multi-Family Residential
14322150340000,2018,Multi-Family Residential
14322150380000,2006,Multi-Family Residential
14322150400000,2016,Multi-Family Residential
14322150490000,2008,Multi-Family Residential
14322160060000,2010,Neighborhood Mixed-Use
14322160210000,2017,Multi-Family Residential
14322160580000,2010,Neighborhood Mixed-Use
14322160590000,2014,Multi-Family Residential
14322160600000,2016,Multi-Family Residential
14322160620000,2015,Multi-Family Residential
14322160630000,2014,Multi-Family Residential
14322160640000,2016,Multi-Family Residential
14322190110000,2013,Multi-Family Residential
14322190190000,2012,Multi-Family Residential
14322190340000,2014,Multi-Family Residential
14322190430000,2006,Multi-Family Residential
14322190460000,2014,Multi-Family Residential
14322190470000,2014,Multi-Family Residential
14322200040000,2012,Multi-Family Residential
14322200080000,2008,Multi-Family Residential
14322210150000,2011,Multi-Family Residential
14322210190000,2018,Multi-Family Residential
14322210240000,2019,Multi-Family Residential
14322210270000,2011,Multi-Family Residential
14322220040000,2022,Multi-Family Residential
14322220070000,2007,Multi-Family Residential
14322220160000,2012,Multi-Family Residential
14322220190000,2008,Multi-Family Residential
14322230090000,2014,Multi-Family Residential
14322230100000,2014,Multi-Family Residential
14322230240000,2008,Multi-Family Residential
14322230300000,2014,Multi-Family Residential
14322230420000,2011,Multi-Family Residential
14322240170000,2010,Multi-Family Residential
14322240250000,2010,Multi-Family Residential
14322240260000,2010,Multi-Family Residential
14322260300000,2008,Multi-Family Residential
14322260390000,2006,Neighborhood Mixed-Use
14322260570000,2006,Multi-Family Residential
14322270050000,2013,Multi-Family Residential
14322270540000,2011,Multi-Family Residential
14322270580000,2014,Multi-Family Residential
14322280100000,2006,Multi-Family Residential
14322280190000,2008,Multi-Family Residential
14323120210000,2016,Neighborhood Mixed-Use
14323120300000,2012,Multi-Family Residential
14323120380000,2022,Neighborhood Mixed-Use
14324020200000,2022,Multi-Family Residential
14324020210000,2022,Multi-Family Residential
14324020270000,2016,Multi-Family Residential
14324030120000,2021,Multi-Family Residential
14324030330000,2006,Multi-Family Residential
14324030500000,2014,Multi-Family Residential
14324030600000,2021,Multi-Family Residential
14324030610000,2021,Multi-Family Residential
14324030680000,2011,Multi-Family Residential
14324030690000,2018,Multi-Family Residential
14324030700000,2014,Multi-Family Residential
14324030880000,2014,Multi-Family Residential
14324030890000,2014,Multi-Family Residential
14324080180000,2006,Multi-Family Residential
14324080370000,2019,Multi-Family Residential
14324080420000,2021,Multi-Family Residential
14324080440000,2007,Multi-Family Residential
14324080470000,2008,Multi-Family Residential
14324080520000,2019,Multi-Family Residential
14324090120000,2021,Multi-Family Residential
14324090130000,2021,Multi-Family Residential
14324090140000,2021,Multi-Family Residential
14324090150000,2021,Multi-Family Residential
14324090240000,2014,Multi-Family Residential
14324090270000,2012,Multi-Family Residential
14324090380000,2016,Multi-Family Residential
14324090440000,2018,Multi-Family Residential
14324090560000,2014,Multi-Family Residential
14324090750000,2008,Multi-Family Residential
14324090760000,2007,Multi-Family Residential
14324090770000,2008,Multi-Family Residential
14324090780000,2007,Multi-Family Residential
14324090790000,2007,Multi-Family Residential
14324100050000,2019,Multi-Family Residential
14324100060000,2015,Multi-Family Residential
14324100110000,2015,Multi-Family Residential
14324100220000,2016,Multi-Family Residential
14324100230000,2008,Multi-Family Residential
14324100240000,2008,Multi-Family Residential
14324100270000,2019,Multi-Family Residential
14324100350000,2006,Neighborhood Mixed-Use
14324100730000,2022,Multi-Family Residential
14324110080000,2021,Multi-Family Residential
14324110630000,2009,Multi-Family Residential
14324120100000,2008,Multi-Family Residential
14324120130000,2009,Multi-Family Residential
14324120200000,2015,Multi-Family Residential
14324120220000,2014,Multi-Family Residential
14324120310000,2008,Multi-Family Residential
14324120340000,2007,Multi-Family Residential
14324120350000,2007,Multi-Family Residential
14324120410000,2007,Multi-Family Residential
14324120460000,2008,Multi-Family Residential
14324120500000,2021,Multi-Family Residential
14324120510000,2019,Multi-Family Residential
14324120730000,2007,Multi-Family Residential
14324130070000,2015,Multi-Family Residential
14324130110000,2018,Multi-Family Residential
14324130140000,2021,Multi-Family Residential
14324130160000,2009,Multi-Family Residential
14324130190000,2007,Multi-Family Residential
14324130200000,2014,Multi-Family Residential
14324130210000,2014,Multi-Family Residential
14324130220000,2014,Multi-Family Residential
14324140100000,2011,Multi-Family Residential
14324140110000,2014,Planned Development
14324160310000,2017,Neighborhood Mixed-Use
14324160450000,2018,Multi-Family Residential
14324160460000,2019,Multi-Family Residential
14324220190000,2022,Multi-Family Residential
14324220200000,2022,Multi-Family Residential
14324220240000,2008,Multi-Family Residential
14324220280000,2012,Multi-Family Residential
14324230160000,2007,Multi-Family Residential
14324230180000,2013,Multi-Family Residential
14324230450000,2007,Neighborhood Mixed-Use
14324250240000,2018,Neighborhood Mixed-Use
14324250380000,2008,Neighborhood Mixed-Use
14324250390000,2014,Neighborhood Mixed-Use
14324250480000,2011,Multi-Family Residential
14324250490000,2011,Multi-Family Residential
14324250500000,2011,Multi-Family Residential
14324250830000,2006,Neighborhood Mixed-Use
14324260120000,2013,Multi-Family Residential
14324260420000,2006,Commercial
14324260880000,2011,Multi-Family Residential
14324260890000,2013,Multi-Family Residential
14333000110000,2019,Neighborhood Mixed-Use
14333000210000,2021,Multi-Family Residential
14333000400000,2007,Multi-Family Residential
14333000880000,2012,Multi-Family Residential
14333001310000,2016,Multi-Family Residential
14333010230000,2022,Multi-Family Residential
14333010280000,2018,Multi-Family Residential
14333010290000,2017,Multi-Family Residential
14333010660000,2020,Multi-Family Residential
14333010670000,2020,Multi-Family Residential
14333010690000,2017,Multi-Family Residential
14333010770000,2019,Multi-Family Residential
14333011190000,2015,Multi-Family Residential
14333011200000,2017,Multi-Family Residential
14333011210000,2018,Multi-Family Residential
14333011220000,2019,Multi-Family Residential
14333020150000,2022,Multi-Family Residential
14333020860000,2016,Multi-Family Residential
14333021700000,2019,Multi-Family Residential
14333021710000,2015,Multi-Family Residential
14333021720000,2015,Multi-Family Residential
14333021750000,2018,Multi-Family Residential
14333030350000,2016,Multi-Family Residential
14333030540000,2015,Multi-Family Residential
14333031400000,2016,Multi-Family Residential
14333031440000,2015,Multi-Family Residential
14333031450000,2022,Multi-Family Residential
14333031460000,2022,Multi-Family Residential
14333031470000,2022,Multi-Family Residential
14333031480000,2022,Multi-Family Residential
14333031520000,2021,Multi-Family Residential
14333031630000,2019,Multi-Family Residential
14333031650000,2018,Multi-Family Residential
14333031660000,2018,Multi-Family Residential
14333031670000,2019,Multi-Family Residential
14333040250000,2021,Multi-Family Residential
14333050180000,2017,Multi-Family Residential
14333050360000,2021,Multi-Family Residential
14333080310000,2019,Multi-Family Residential
14333090260000,2016,Multi-Family Residential
14333090330000,2020,Multi-Family Residential
14333090340000,2019,Multi-Family Residential
14333090500000,2015,Multi-Family Residential
14333100450000,2020,Multi-Family Residential
14333100470000,2020,Multi-Family Residential
14333100800000,2019,Multi-Family Residential
14333130720000,2015,Multi-Family Residential
14333130870000,2014,Multi-Family Residential
14333140200000,2007,Multi-Family Residential
14333140210000,2019,Multi-Family Residential
14333140270000,2015,Multi-Family Residential
14333140280000,2015,Multi-Family Residential
14333140430000,2006,Multi-Family Residential
14333140990000,2013,Neighborhood Mixed-Use
14333170210000,2006,Multi-Family Residential
14333170230000,2013,Multi-Family Residential
14333170240000,2015,Multi-Family Residential
14333170300000,2012,Multi-Family Residential
14333170310000,2015,Multi-Family Residential
14333170330000,2011,Multi-Family Residential
14333170340000,2011,Multi-Family Residential
14333180330000,2014,Multi-Family Residential
14333180340000,2014,Multi-Family Residential
14333180360000,2006,Multi-Family Residential
14333180710000,2017,Multi-Family Residential
14333180720000,2017,Multi-Family Residential
14333180730000,2018,Multi-Family Residential
14333180740000,2017,Multi-Family Residential
14333180750000,2018,Multi-Family Residential
14333310160000,2009,Multi-Family Residential
14333310300000,2022,Multi-Family Residential
16012010410000,2014,Single-Family Residential
16012020260000,2018,Neighborhood Mixed-Use
16012020400000,2006,Single-Family Residential
16012030380000,2018,Multi-Family Residential
16012030540000,2016,Multi-Family Residential
16012040300000,2007,Single-Family Residential
16012040320000,2013,Single-Family Residential
16012040350000,2006,Single-Family Residential
16012050160000,2006,Single-Family Residential
16012050170000,2018,Multi-Family Residential
16012050190000,2006,Single-Family Residential
16012050400000,2014,Single-Family Residential
16012070340000,2012,Commercial
16012070380000,2006,Commercial
16012070420000,2006,Multi-Family Residential
16012080110000,2019,Single-Family Residential
16012080440000,2022,Single-Family Residential
16012080460000,2022,Single-Family Residential
16012080470000,2022,Single-Family Residential
16012080480000,2022,Single-Family Residential
16012080490000,2022,Single-Family Residential
16012090090000,2014,Single-Family Residential
16012090280000,2019,Single-Family Residential
16012090290000,2018,Single-Family Residential
16012090300000,2020,Single-Family Residential
16012100420000,2021,Multi-Family Residential
16012110040000,2022,Single-Family Residential
16012120060000,2018,Multi-Family Residential
16012120130000,2008,Single-Family Residential
16012120180000,2018,Multi-Family Residential
16012120200000,2011,Single-Family Residential
16012120450000,2011,Single-Family Residential
16012130080000,2008,Single-Family Residential
16012130280000,2011,Multi-Family Residential
16012140150000,2018,Single-Family Residential
16012140310000,2008,Single-Family Residential
16012150150000,2019,Multi-Family Residential
16012150170000,2014,Multi-Family Residential
16012150250000,2021,Neighborhood Mixed-Use
16012150290000,2016,Neighborhood Mixed-Use
16012170420000,2014,Single-Family Residential
16012170440000,2006,Multi-Family Residential
16012170530000,2007,Single-Family Residential
16012170540000,2022,Single-Family Residential
16012170550000,2022,Single-Family Residential
16012200230000,2008,Single-Family Residential
16012200260000,2012,Single-Family Residential
16012200320000,2013,Single-Family Residential
16012200330000,2018,Single-Family Residential
16012210040000,2019,Single-Family Residential
16012210160000,2008,Single-Family Residential
16012210370000,2019,Single-Family Residential
16012220190000,2015,Single-Family Residential
16012220290000,2007,Single-Family Residential
16012230320000,2018,Single-Family Residential
16012240020000,2014,Single-Family Residential
16012240150000,2022,Single-Family Residential
16012240160000,2021,Multi-Family Residential
16012240170000,2022,Single-Family Residential
16012250060000,2017,Multi-Family Residential
16012260160000,2008,Single-Family Residential
16012260180000,2015,Single-Family Residential
16012270160000,2015,Multi-Family Residential
16012270170000,2015,Multi-Family Residential
16012270190000,2011,Single-Family Residential
16012270280000,2014,Single-Family Residential
16012270310000,2014,Single-Family Residential
16012270320000,2006,Single-Family Residential
16012270350000,2017,Neighborhood Mixed-Use
16012270360000,2018,Neighborhood Mixed-Use
16012280210000,2012,Single-Family Residential
16012310260000,2008,Single-Family Residential
16013030040000,2014,Single-Family Residential
16013030070000,2014,Neighborhood Mixed-Use
16013030350000,2017,Multi-Family Residential
16013050010000,2015,Planned Development
16013130430000,2006,Commercial
16013130440000,2006,Commercial
16013130450000,2006,Commercial
16013140160000,2011,Single-Family Residential
16013140180000,2011,Single-Family Residential
16013140190000,2022,Single-Family Residential
16013140220000,2012,Single-Family Residential
16013150160000,2014,Single-Family Residential
16013170270000,2017,Commercial
16013170280000,2017,Commercial
16013240410000,2022,Commercial
16013240520000,2014,Single-Family Residential
16013240530000,2014,Single-Family Residential
16013250410000,2020,Single-Family Residential
16013250420000,2011,Single-Family Residential
16013250500000,2011,Commercial
16013250510000,2011,Commercial
16013250520000,2021,Commercial
16013250600000,2018,Single-Family Residential
16013250630000,2014,Commercial
16013250640000,2014,Commercial
16013250650000,2014,Commercial
16013250660000,2014,Commercial
16013250670000,2014,Commercial
16013250680000,2014,Commercial
16013260070000,2019,Single-Family Residential
16013260370000,2018,Commercial
16013260520000,2006,Commercial
16013260530000,2006,Commercial
16014000010000,2006,Neighborhood Mixed-Use
16014000270000,2007,Single-Family Residential
16014000370000,2014,Single-Family Residential
16014000380000,2015,Single-Family Residential
16014020330000,2021,Single-Family Residential
16014020490000,2007,Multi-Family Residential
16014040420000,2007,Multi-Family Residential
16014040520000,2018,Multi-Family Residential
16014040530000,2018,Multi-Family Residential
16014050010000,2008,Multi-Family Residential
16014060110000,2013,Single-Family Residential
16014060390000,2014,Single-Family Residential
16014070220000,2015,Multi-Family Residential
16014070240000,2014,Multi-Family Residential
16014070290000,2015,Multi-Family Residential
16014070410000,2006,Multi-Family Residential
16014080060000,2007,Neighborhood Mixed-Use
16014080190000,2015,Multi-Family Residential
16014080290000,2020,Multi-Family Residential
16014090290000,2006,Multi-Family Residential
16014090430000,2022,Multi-Family Residential
16014090540000,2010,Multi-Family Residential
16014110170000,2006,Multi-Family Residential
16014110300000,2016,Multi-Family Residential
16014130040000,2007,Multi-Family Residential
16014130440000,2022,Multi-Family Residential
16014150180000,2021,Multi-Family Residential
16014180380000,2007,Single-Family Residential
16014180390000,2008,Single-Family Residential
16014180400000,2009,Single-Family Residential
16014190040000,2014,Multi-Family Residential
16014200130000,2021,Multi-Family Residential
16014220130000,2012,Single-Family Residential
16014220320000,2019,Single-Family Residential
16014240270000,2021,Single-Family Residential
16014240380000,2014,Commercial
16014240390000,2021,Neighborhood Mixed-Use
16014250190000,2007,Single-Family Residential
16014260200000,2013,Single-Family Residential
16014270320000,2007,Commercial
16014270370000,2022,Commercial
16014280110000,2014,Multi-Family Residential
16014300040000,2022,Commercial
16014300050000,2022,Commercial
16014300060000,2022,Commercial
16014300070000,2022,Commercial
16014300080000,2022,Commercial
16014300090000,2022,Commercial
16021000010000,2015,Planned Development
16021050060000,2014,Single-Family Residential
16021050270000,2007,Single-Family Residential
16021100270000,2020,Multi-Family Residential
16021120040000,2008,Multi-Family Residential
16021120200000,2006,Single-Family Residential
16021130220000,2006,Single-Family Residential
16021150130000,2018,Single-Family Residential
16021180290000,2021,Multi-Family Residential
16021190010000,2022,Single-Family Residential
16021190020000,2022,Single-Family Residential
16021200390000,2022,Single-Family Residential
16021220390000,2022,Single-Family Residential
16021220400000,2022,Single-Family Residential
16021220410000,2022,Single-Family Residential
16021220420000,2022,Single-Family Residential
16021220430000,2022,Single-Family Residential
16021220440000,2022,Single-Family Residential
16022000050000,2010,Neighborhood Mixed-Use
16022000090000,2020,Neighborhood Mixed-Use
16022160450000,2016,Single-Family Residential
16022160460000,2017,Single-Family Residential
16022160470000,2014,Single-Family Residential
16022250100000,2014,Single-Family Residential
16022250290000,2007,Single-Family Residential
16022250440000,2018,Single-Family Residential
16022270100000,2019,Single-Family Residential
16022270140000,2022,Single-Family Residential
16022280210000,2006,Neighborhood Mixed-Use
16022280270000,2006,Neighborhood Mixed-Use
16023050060000,2007,Neighborhood Mixed-Use
16023080230000,2006,Single-Family Residential
16023120100000,2006,Single-Family Residential
16023130310000,2022,Single-Family Residential
16023140090000,2007,Single-Family Residential
16023150290000,2008,Single-Family Residential
16023150340000,2022,Single-Family Residential
16023180250000,2006,Single-Family Residential
16023280080000,2022,Single-Family Residential
16024080320000,2015,Single-Family Residential
16024080370000,2006,Single-Family Residential
16024080380000,2006,Single-Family Residential
16024080410000,2014,Single-Family Residential
16024080420000,2010,Single-Family Residential
16024080430000,2008,Single-Family Residential
16024080440000,2007,Single-Family Residential
16024080450000,2008,Single-Family Residential
16024080460000,2016,Single-Family Residential
16024080470000,2007,Single-Family Residential
16024080480000,2007,Single-Family Residential
16024080490000,2006,Single-Family Residential
16024080650000,2008,Single-Family Residential
16024080660000,2015,Single-Family Residential
16024090200000,2022,Single-Family Residential
16024140390000,2021,Single-Family Residential
16024140400000,2021,Single-Family Residential
16024150060000,2022,Single-Family Residential
16024170150000,2006,Single-Family Residential
16024200190000,2021,Single-Family Residential
16024230010000,2006,Single-Family Residential
16032020280000,2006,Single-Family Residential
16032090190000,2006,Single-Family Residential
16032090330000,2006,Single-Family Residential
16032090340000,2006,Single-Family Residential
16032160430000,2021,Single-Family Residential
16032200260000,2007,Single-Family Residential
16032220090000,2019,Single-Family Residential
16032220100000,2007,Single-Family Residential
16032250290000,2007,Single-Family Residential
16032260140000,2007,Single-Family Residential
16032280380000,2021,Single-Family Residential
16032320180000,2021,Single-Family Residential
16034030320000,2006,Single-Family Residential
16034060350000,2021,Single-Family Residential
16034110020000,2006,Single-Family Residential
16041000220000,2019,Single-Family Residential
16043040160000,2022,Single-Family Residential
16043090160000,2011,Single-Family Residential
16043170390000,2006,Single-Family Residential
16043190230000,2007,Single-Family Residential
16043210020000,2007,Single-Family Residential
16043220020000,2006,Single-Family Residential
16043220050000,2011,Single-Family Residential
16043220060000,2006,Single-Family Residential
16043260140000,2006,Neighborhood Mixed-Use
16043270120000,2006,Single-Family Residential
16043270130000,2006,Single-Family Residential
16044090390000,2007,Single-Family Residential
16044170320000,2007,Single-Family Residential
16044190170000,2008,Single-Family Residential
16044230270000,2007,Single-Family Residential
16044270400000,2009,Single-Family Residential
16052030210000,2007,Single-Family Residential
16052070160000,2019,Single-Family Residential
16052130210000,2019,Single-Family Residential
16054060120000,2021,Single-Family Residential
16082040130000,2022,Multi-Family Residential
16082060140000,2022,Multi-Family Residential
16082060340000,2008,Multi-Family Residential
16082180240000,2019,Single-Family Residential
16082180250000,2019,Single-Family Residential
16082260220000,2009,Multi-Family Residential
16084080310000,2008,Single-Family Residential
16084080320000,2006,Single-Family Residential
16084080330000,2006,Single-Family Residential
16084080340000,2006,Single-Family Residential
16084210180000,2008,Multi-Family Residential
16091040170000,2006,Single-Family Residential
16091070330000,2021,Multi-Family Residential
16091070340000,2021,Multi-Family Residential
16091070350000,2021,Multi-Family Residential
16091070360000,2021,Multi-Family Residential
16091130010000,2006,Single-Family Residential
16091200210000,2006,Single-Family Residential
16092010330000,2007,Single-Family Residential
16092020190000,2011,Neighborhood Mixed-Use
16092270190000,2008,Single-Family Residential
16093070170000,2006,Single-Family Residential
16093120460000,2006,Single-Family Residential
16093120470000,2006,Single-Family Residential
16093130540000,2006,Single-Family Residential
16093170170000,2008,Single-Family Residential
16094220300000,2006,Multi-Family Residential
16094220310000,2006,Multi-Family Residential
16094220320000,2006,Multi-Family Residential
16094220330000,2006,Multi-Family Residential
16094220340000,2006,Multi-Family Residential
16104100350000,2006,Multi-Family Residential
16104100400000,2007,Multi-Family Residential
16104150220000,2008,Multi-Family Residential
16104160040000,2014,Multi-Family Residential
16104160060000,2006,Multi-Family Residential
16104160110000,2006,Multi-Family Residential
16104170250000,2008,Multi-Family Residential
16111020180000,2019,Multi-Family Residential
16111020190000,2019,Multi-Family Residential
16111040130000,2014,Multi-Family Residential
16111160040000,2022,Multi-Family Residential
16111220030000,2006,Multi-Family Residential
16111290430000,2008,Multi-Family Residential
16111290440000,2008,Multi-Family Residential
16111290450000,2008,Multi-Family Residential
16111310070000,2022,Multi-Family Residential
16111310140000,2022,Multi-Family Residential
16111310250000,2021,Multi-Family Residential
16111320450000,2008,Multi-Family Residential
16111320460000,2008,Multi-Family Residential
16112070040000,2021,Single-Family Residential
16112080150000,2015,Multi-Family Residential
16112090150000,2008,Multi-Family Residential
16112090370000,2015,Single-Family Residential
16112090380000,2015,Single-Family Residential
16112120190000,2008,Single-Family Residential
16112130410000,2015,Single-Family Residential
16112150010000,2008,Multi-Family Residential
16112150020000,2008,Multi-Family Residential
16112150030000,2008,Multi-Family Residential
16112150040000,2008,Multi-Family Residential
16112150210000,2015,Single-Family Residential
16112150370000,2015,Single-Family Residential
16112150380000,2015,Single-Family Residential
16112170010000,2015,Multi-Family Residential
16112170100000,2022,Multi-Family Residential
16112170200000,2008,Multi-Family Residential
16112180100000,2008,Multi-Family Residential
16112180110000,2008,Multi-Family Residential
16112180180000,2008,Multi-Family Residential
16112200020000,2008,Multi-Family Residential
16112200040000,2008,Multi-Family Residential
16112260210000,2020,Multi-Family Residential
16112260300000,2018,Multi-Family Residential
16113030260000,2006,Multi-Family Residential
16113040200000,2014,Multi-Family Residential
16113040280000,2006,Multi-Family Residential
16113040410000,2006,Multi-Family Residential
16113060540000,2006,Multi-Family Residential
16113080210000,2008,Multi-Family Residential
16114040380000,2007,Multi-Family Residential
16114040480000,2012,Multi-Family Residential
16114040490000,2012,Multi-Family Residential
16114080070000,2009,Multi-Family Residential
16121060360000,2015,Single-Family Residential
16121070090000,2021,Single-Family Residential
16121070100000,2021,Single-Family Residential
16121070260000,2015,Multi-Family Residential
16121070270000,2015,Multi-Family Residential
16121070280000,2015,Multi-Family Residential
16121070310000,2015,Multi-Family Residential
16121070320000,2015,Multi-Family Residential
16121090030000,2015,Multi-Family Residential
16121090050000,2020,Multi-Family Residential
16122020240000,2014,Single-Family Residential
16122020370000,2008,Single-Family Residential
16122020540000,2022,Single-Family Residential
16122020580000,2012,Commercial
16122030230000,2019,Single-Family Residential
16122030330000,2019,Single-Family Residential
16122030380000,2006,Single-Family Residential
16122030390000,2013,Neighborhood Mixed-Use
16122030400000,2013,Neighborhood Mixed-Use
16122050130000,2014,Single-Family Residential
16122050310000,2014,Single-Family Residential
16122060050000,2006,Single-Family Residential
16122060070000,2006,Single-Family Residential
16122060120000,2018,Single-Family Residential
16122060260000,2011,Multi-Family Residential
16122060380000,2011,Single-Family Residential
16122070200000,2011,Single-Family Residential
16122070250000,2018,Multi-Family Residential
16122070360000,2018,Single-Family Residential
16122070510000,2007,Single-Family Residential
16122070520000,2007,Single-Family Residential
16122090230000,2020,Neighborhood Mixed-Use
16122100020000,2011,Single-Family Residential
16122100030000,2011,Single-Family Residential
16122100200000,2008,Multi-Family Residential
16122100230000,2014,Single-Family Residential
16122100240000,2014,Multi-Family Residential
16122100250000,2015,Multi-Family Residential
16122130070000,2015,Single-Family Residential
16122130170000,2014,Single-Family Residential
16122130190000,2022,Single-Family Residential
16122130410000,2006,Single-Family Residential
16122140110000,2011,Single-Family Residential
16122140210000,2018,Single-Family Residential
16122140530000,2015,Neighborhood Mixed-Use
16122140540000,2014,Neighborhood Mixed-Use
16122140550000,2014,Neighborhood Mixed-Use
16122140560000,2018,Single-Family Residential
16122140570000,2018,Single-Family Residential
16122140580000,2018,Single-Family Residential
16122140590000,2020,Single-Family Residential
16122180100000,2014,Single-Family Residential
16122180170000,2021,Commercial
16122180350000,2017,Single-Family Residential
16122180590000,2014,Single-Family Residential
16123060480000,2006,Multi-Family Residential
16123060520000,2008,Multi-Family Residential
16123080090000,2019,Multi-Family Residential
16123100040000,2008,Multi-Family Residential
16123100510000,2009,Multi-Family Residential
16123100520000,2008,Multi-Family Residential
16123200350000,2006,Planned Development
16123210340000,2017,Multi-Family Residential
16123230160000,2007,Multi-Family Residential
16123240060000,2008,Multi-Family Residential
16123240120000,2009,Multi-Family Residential
16123240430000,2006,Multi-Family Residential
16123240440000,2006,Multi-Family Residential
16123250040000,2008,Multi-Family Residential
16123250120000,2020,Multi-Family Residential
16123250490000,2008,Multi-Family Residential
16123250500000,2006,Multi-Family Residential
16123270030000,2021,Multi-Family Residential
16123310470000,2021,Multi-Family Residential
16123310510000,2008,Multi-Family Residential
16124210550000,2018,Multi-Family Residential
16124230710000,2014,Multi-Family Residential
16124230730000,2017,Multi-Family Residential
16124230740000,2017,Multi-Family Residential
16124230750000,2018,Multi-Family Residential
16124230760000,2018,Multi-Family Residential
16124230770000,2018,Multi-Family Residential
16124270170000,2022,Multi-Family Residential
16124280280000,2013,Neighborhood Mixed-Use
16131090070000,2008,Multi-Family Residential
16131090110000,2021,Multi-Family Residential
16131100040000,2006,Multi-Family Residential
16131110360000,2022,Multi-Family Residential
16131140430000,2008,Multi-Family Residential
16131150610000,2008,Multi-Family Residential
16131230260000,2007,Commercial
16131240060000,2021,Multi-Family Residential
16131320500000,2021,Multi-Family Residential
16131320510000,2021,Multi-Family Residential
16131320520000,2021,Multi-Family Residential
16131320530000,2021,Multi-Family Residential
16131320540000,2021,Multi-Family Residential
16131320550000,2021,Multi-Family Residential
16131320560000,2021,Multi-Family Residential
16132000180000,2022,Multi-Family Residential
16132000190000,2022,Multi-Family Residential
16132040050000,2011,Multi-Family Residential
16132060740000,2020,Multi-Family Residential
16132060750000,2020,Multi-Family Residential
16132060760000,2020,Multi-Family Residential
16132060770000,2020,Multi-Family Residential
16132060780000,2022,Multi-Family Residential
16132060790000,2020,Multi-Family Residential
16132080070000,2011,Multi-Family Residential
16132080270000,2006,Multi-Family Residential
16132080280000,2018,Multi-Family Residential
16132080290000,2018,Multi-Family Residential
16132120160000,2006,Multi-Family Residential
16132120420000,2006,Multi-Family Residential
16132140680000,2011,Planned Development
16132140720000,2010,Planned Development
16132140730000,2011,Planned Development
16132140750000,2011,Planned Development
16132140760000,2011,Planned Development
16132150730000,2011,Planned Development
16132170130000,2006,Multi-Family Residential
16132170170000,2006,Multi-Family Residential
16132170240000,2022,Multi-Family Residential
16132170250000,2022,Multi-Family Residential
16132180010000,2016,Planned Development
16132190450000,2008,Multi-Family Residential
16132190460000,2010,Planned Development
16132190470000,2008,Multi-Family Residential
16132190500000,2008,Multi-Family Residential
16132190510000,2008,Multi-Family Residential
16132190520000,2010,Planned Development
16132190540000,2011,Planned Development
16132190550000,2010,Planned Development
16132190560000,2010,Planned Development
16132190580000,2010,Planned Development
16132190590000,2010,Planned Development
16132190630000,2010,Planned Development
16132190640000,2010,Planned Development
16132200500000,2008,Multi-Family Residential
16132200510000,2008,Multi-Family Residential
16132200560000,2008,Multi-Family Residential
16132210010000,2017,Multi-Family Residential
16132320040000,2017,Multi-Family Residential
16132320050000,2018,Multi-Family Residential
16132320060000,2018,Multi-Family Residential
16132320070000,2018,Multi-Family Residential
16132320080000,2018,Multi-Family Residential
16132320200000,2019,Multi-Family Residential
16132320260000,2008,Multi-Family Residential
16132320330000,2015,Multi-Family Residential
16132320340000,2015,Multi-Family Residential
16132320350000,2017,Multi-Family Residential
16132320360000,2017,Multi-Family Residential
16132330080000,2007,Multi-Family Residential
16132330090000,2015,Multi-Family Residential
16132330100000,2006,Multi-Family Residential
16132330110000,2015,Multi-Family Residential
16132330120000,2018,Multi-Family Residential
16132330180000,2009,Multi-Family Residential
16132330220000,2007,Multi-Family Residential
16132340050000,2006,Multi-Family Residential
16132340180000,2019,Multi-Family Residential
16132350180000,2006,Multi-Family Residential
16133010230000,2007,Multi-Family Residential
