pin,pin10,card_num,cards_in_history,tax_year,previous_year_built,year_built,transition_type,previous_building_sqft,building_sqft,sqft_ratio,previous_land_sqft,land_sqft,previous_apartments,apartments,previous_building_use,building_use,previous_residence_type,residence_type,large_characteristic_change,candidate_pins_under_pin10,new_construction_permits_under_pin10,permit_id,permit_application_date,permit_application_year,permit_issue_date,permit_issued,permit_status,permit_address,work_description,unique_pin10_permit_match,build_minus_permit_year,permit_supports_new_year,permit_postdates_previous_reported_year,candidate_type
09363070480000,0936307048,1,1,2017,1953,2014,pre_1999_to_post_1999,1014,3120,3.076923076923077,6250,6250,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,2729043,2016-02-22,2016,2016-04-13,1,COMPLETE,7755 W COLUMBIA AVE,"ERECT A 2 STORY, IVA FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT  AND 2 CAR ATACHED GARAGE PER PLANS",TRUE,-2,FALSE,FALSE,old_building_to_new_building
09363130240000,0936313024,1,1,2016,1919,2014,pre_1999_to_post_1999,1229,3128,2.545158665581774,7375,7375,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,2675418,2015-08-28,2015,2015-09-30,1,COMPLETE,6602 N OLIPHANT AVE,"ERECT A NEW TWO STORY FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT . NEW OPEN FRONT PORCH, REAR  OPEN DECK AND NEW DETACHED 3 CAR FRAME PRIVATE GARAGE. NEW 200 LF OF 6 FT HIGH WOOD FENCE. PER PLANS",TRUE,-1,FALSE,FALSE,old_building_to_new_building
09363140270000,0936314027,1,1,2015,1928,2014,pre_1999_to_post_1999,1315,2614,1.987832699619772,5580,5580,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,2512833,2014-03-07,2014,2014-03-07,1,COMPLETE,6522 N OXFORD AVE,SELF CERTIFICATION REVIEW: ERECT 2-STORY WITH BASEMENT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 3 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.,TRUE,0,TRUE,TRUE,old_building_to_new_building
09363140330000,0936314033,1,1,2019,1925,2018,pre_1999_to_post_1999,1125,2828,2.513777777777778,3720,3720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,2874679,2017-09-13,2017,2017-11-29,1,COMPLETE,6504 N OXFORD AVE,ERECT A NEW 2 STORY FRAME (4A CONST. TYPE) SINGLE FAMILY HOME WITH BASEMENT AND FRAME DETACHED 2 CAR GARAGE AS PER PLANS CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS),TRUE,1,TRUE,TRUE,old_building_to_new_building
09363150020000,0936315002,1,1,2016,1949,2014,pre_1999_to_post_1999,772,2324,3.010362694300518,3720,3720,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,2675162,2015-09-23,2015,2015-11-25,1,COMPLETE,6555 N OXFORD AVE,ERECT A NEW  2 STORY FRAME SINGLE FAMILY HOME WITH BASEMENT & A 2 CAR FRAME DETACHED GARAGE AS PER PLANS**CERTIFIED CORRECTIONS- - SUBJECT TO FIELD INSPECTIONS & AUDIT **,TRUE,-1,FALSE,FALSE,old_building_to_new_building
09363250250000,0936325025,1,1,2015,1924,2014,pre_1999_to_post_1999,1184,4006,3.383445945945946,6250,6250,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,2584152,2014-08-14,2014,2014-08-20,1,COMPLETE,6466 N OLYMPIA AVE,SELF CERT.PROJECT: ERECT A NEW 2 STORY FRAME SINGLE FAMILY RESIDENCE WITH BASEMENT AND DETACHED GARAGE AS PER PLANS,TRUE,0,TRUE,TRUE,old_building_to_new_building
09363250280000,0936325028,1,1,2016,1949,2014,pre_1999_to_post_1999,1234,2984,2.418152350081037,5375,5375,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,2663560,2015-07-08,2015,2015-09-17,1,COMPLETE,6454 N OLYMPIA AVE,ERECT A NEW 2 STORY FRAME SINGLE FAMILY HOME WITH BASEMENT AND FRONT PORCH ALSO NEW 3 CAR FRAME GARAGE ALLEY ACCESS,TRUE,-1,FALSE,FALSE,old_building_to_new_building
09363250360000,0936325036,1,1,2019,1908,2018,pre_1999_to_post_1999,1497,2892,1.9318637274549098,9375,9375,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE,1,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09364030150000,0936403015,1,1,2006,1932,2005,pre_1999_to_post_1999,1625,4082,2.512,NA,6200,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09364030160000,0936403016,1,1,2005,1922,2004,pre_1999_to_post_1999,960,2582,2.689583333333333,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
