pin,construction_year,construction_proxy_date,multifamily,dist_to_boundary,ward_pair,longitude,latitude,anchor_date,anchor_zone_group,anchor_source,construction_replayed_zone_group,construction_linked_event_count,construction_applied_event_count,construction_applied_matter_ids,zone_code_2025,zone_group_2025,ordinance_number_2025,ordinance_date_2025,current_ordinance_date_recovered,current_event_date_for_validation,current_check_replayed_zone_group,current_check_linked_event_count,current_check_applied_event_count,current_check_applied_matter_ids,current_last_event_preconstruction,current_replay_matches_2025,current_event_source_groups,current_event_destination_groups,current_event_transition_source,current_event_origin_supports_construction_group,construction_zone_group,construction_zoning_status,construction_zone_group_supported
13014130480000,2008,2008-06-15,True,727.5452363838319,40_50,-87.6929047256,41.9884815365,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13021130170000,2010,2010-06-15,False,148.47513192769452,39_50,-87.7210908787,41.9940411688,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13021130180000,2010,2010-06-15,False,127.24643111990662,39_50,-87.721088909,41.99395883239999,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13021130190000,2010,2010-06-15,False,109.01217281309214,39_50,-87.7210867654,41.993869633200006,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13021140350000,2018,2018-06-15,False,576.8324948270125,39_50,-87.7193272848,41.99413796249999,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13021140450000,2018,2018-06-15,False,576.8554432093642,39_50,-87.7193256568,41.99407623730001,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13021140500000,2010,2010-06-15,False,814.1735063017899,39_50,-87.7193611125,41.9953361697,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13021140520000,2007,2007-06-15,False,750.4419601290979,39_50,-87.7193536426,41.9950763966,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13021230200000,2018,2018-06-15,False,240.37926083417432,39_50,-87.7205523232,41.99359850910001,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13021230210000,2018,2018-06-15,False,240.42520365980593,39_50,-87.720550091,41.993511041000005,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13022030120000,2011,2011-06-15,False,810.6432984738311,39_50,-87.7186309763,41.994474806000014,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13022030130000,2011,2011-06-15,False,801.67594380706,39_50,-87.7186286066,41.99439244020001,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13022030470000,2014,2014-06-15,False,868.8299119782843,39_50,-87.7186426655,41.9948811827,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13022040520000,2006,2006-06-15,False,1345.9107700342524,39_50,-87.7169204402,41.99523605150001,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13022060150000,2018,2018-06-15,False,1353.0795734584865,39_50,-87.71498098590001,41.99402432230001,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13022060160000,2018,2018-06-15,False,1320.562450400376,39_50,-87.7149783966,41.9939351088,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13022080410000,2008,2008-06-15,False,759.847284536427,39_50,-87.7173522162,41.99236678759999,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
