attom_id,address
175011506,"7937 W COUNTRY CLUB LN, CHICAGO, IL, 60707-3533"
204333585,"8726 S DORCHESTER AVE, CHICAGO, IL, 60619-7008"
174808936,"3931 N LEAVITT ST, CHICAGO, IL, 60618-3809"
10067529,"2225 W FOSTER AVE, CHICAGO, IL, 60625-1803"
51486474,"3504 W EVERGREEN AVE, CHICAGO, IL, 60651-2220"
176166806,"1335 W 97TH ST, CHICAGO, IL, 60643-1417"
174772872,"6743 N LIGHTFOOT AVE, CHICAGO, IL, 60646-1408"
175354123,"10600 S SPAULDING AVE, CHICAGO, IL, 60655-2520"
175260777,"6215 W 64TH ST, CHICAGO, IL, 60638-5015"
26701037,"6564 W DEVON AVE, CHICAGO, IL, 60631-2038"
141068955,"11719 S HALE AVE, CHICAGO, IL, 60643-4823"
21407244,"8214 S MARSHFIELD AVE, CHICAGO, IL, 60620-4631"
4252440,"1623 N MASON AVE, CHICAGO, IL, 60639-4060"
15981710,"4333 S DRAKE AVE, CHICAGO, IL, 60632-3521"
12123923,"1012 N MONITOR AVE, CHICAGO, IL, 60651-2570"
175013993,"6001 N MENARD AVE, CHICAGO, IL, 60646-3918"
175149018,"1221 N CENTRAL AVE, CHICAGO, IL, 60651-1248"
19409907,"5633 N CRESCENT AVE, CHICAGO, IL, 60631-2914"
148527965,"2135 S FAIRFIELD AVE, CHICAGO, IL, 60608-3505"
204310112,"6840 S MARSHFIELD AVE, CHICAGO, IL, 60636-3305"
175248300,"3035 S QUINN ST, CHICAGO, IL, 60608-5810"
54771387,"2049 W WAVELAND AVE, CHICAGO, IL, 60618-4949"
174793532,"6130 N BERNARD ST, CHICAGO, IL, 60659-2212"
25546773,"8128 S ARTESIAN AVE, CHICAGO, IL, 60652-2839"
24640741,"3541 W NORTH AVE, CHICAGO, IL, 60647-4808"
25806387,"7941 S MARYLAND AVE, CHICAGO, IL, 60619-3912"
38874698,"1059 W 32ND ST, CHICAGO, IL, 60608-6505"
10418742,"2608 E 76TH ST, CHICAGO, IL, 60649-4204"
175296489,"6032 S PAULINA ST, CHICAGO, IL, 60636-2229"
24888518,"10157 S CARPENTER ST, CHICAGO, IL, 60643-2214"
175040682,"6027 W IRVING PARK RD, CHICAGO, IL, 60634-2521"
3119701,"1533 W CHASE AVE, CHICAGO, IL, 60626-2125"
153087813,"4937 W LEXINGTON ST, CHICAGO, IL, 60644-5232"
175270005,"6416 S KILPATRICK AVE, CHICAGO, IL, 60629-5518"
